player,rank,suit
0,ACE,CLUBS
1,SEVEN,CLUBS
0,EIGHT,HEARTS
1,SIX,SPADES
0,JACK,SPADES
1,KING,DIAMONDS
0,NINE,DIAMONDS
1,TEN,DIAMONDS
0,FIVE,SPADES
1,FOUR,DIAMONDS
0,QUEEN,HEARTS
1,EIGHT,DIAMONDS
0,EIGHT,CLUBS
1,THREE,DIAMONDS
0,EIGHT,SPADES
1,SIX,DIAMONDS
0,TWO,CLUBS
1,ACE,DIAMONDS
0,THREE,HEARTS
1,THREE,SPADES
0,SIX,CLUBS
1,FIVE,DIAMONDS
0,FOUR,HEARTS
1,THREE,CLUBS
0,NINE,HEARTS
1,JACK,HEARTS
0,KING,HEARTS
1,SEVEN,DIAMONDS
0,QUEEN,DIAMONDS
1,JACK,CLUBS
0,TEN,HEARTS
1,QUEEN,SPADES
0,SEVEN,SPADES
1,ACE,HEARTS
0,QUEEN,CLUBS
1,NINE,SPADES
0,JACK,DIAMONDS
1,KING,SPADES
0,TEN,SPADES
1,SEVEN,HEARTS
0,FOUR,SPADES
1,FOUR,CLUBS
0,TWO,SPADES
1,TWO,DIAMONDS
0,KING,CLUBS
1,FIVE,HEARTS
0,SIX,HEARTS
1,ACE,SPADES
0,NINE,CLUBS
1,FIVE,CLUBS
0,TWO,HEARTS
1,TEN,CLUBS
