player,rank,suit
0,SEVEN,HEARTS
1,QUEEN,DIAMONDS
0,SIX,HEARTS
1,EIGHT,HEARTS
0,NINE,SPADES
1,FIVE,DIAMONDS
0,JACK,CLUBS
1,ACE,CLUBS
0,JACK,HEARTS
1,NINE,HEARTS
0,ACE,SPADES
1,TEN,SPADES
0,QUEEN,HEARTS
1,FIVE,CLUBS
0,TWO,HEARTS
1,FOUR,HEARTS
0,QUEEN,SPADES
1,JACK,SPADES
0,JACK,DIAMONDS
1,EIGHT,DIAMONDS
0,TWO,DIAMONDS
1,THREE,SPADES
0,TEN,DIAMONDS
1,THREE,DIAMONDS
0,FOUR,DIAMONDS
1,FIVE,SPADES
0,EIGHT,CLUBS
1,KING,DIAMONDS
0,FOUR,SPADES
1,SEVEN,DIAMONDS
0,ACE,HEARTS
1,FOUR,CLUBS
0,KING,CLUBS
1,SEVEN,SPADES
0,FIVE,HEARTS
1,THREE,HEARTS
0,SIX,CLUBS
1,THREE,CLUBS
0,TEN,HEARTS
1,KING,SPADES
0,TWO,SPADES
1,KING,HEARTS
0,SIX,DIAMONDS
1,NINE,CLUBS
0,EIGHT,SPADES
1,SEVEN,CLUBS
0,ACE,DIAMONDS
1,NINE,DIAMONDS
0,TEN,CLUBS
1,TWO,CLUBS
0,QUEEN,CLUBS
1,SIX,SPADES
